"token","type","uniq","age_group","dialect","gender","operating_system","input_method","trial","session"
"x","initial","0","18-30","mandarin","male","mac","sougou","1","6"
"ia","final","1","18-30","mandarin","male","mac","sougou","1","6"
"m","initial","2","18-30","mandarin","male","mac","sougou","1","6"
"a","final","3","18-30","mandarin","male","mac","sougou","1","6"
"y","initial","4","18-30","mandarin","male","mac","sougou","1","6"
"in","final","5","18-30","mandarin","male","mac","sougou","1","6"
"j","initial","6","18-30","mandarin","male","mac","sougou","1","6"
"un","final","7","18-30","mandarin","male","mac","sougou","1","6"
"j","initial","8","18-30","mandarin","male","mac","sougou","1","6"
"iu","final","9","18-30","mandarin","male","mac","sougou","1","6"
"1","selection","10","18-30","mandarin","male","mac","sougou","1","6"
"w","initial","11","18-30","mandarin","male","mac","sougou","1","6"
"en","final","12","18-30","mandarin","male","mac","sougou","1","6"
"j","initial","13","18-30","mandarin","male","mac","sougou","1","6"
"un","final","14","18-30","mandarin","male","mac","sougou","1","6"
"h","initial","15","18-30","mandarin","male","mac","sougou","1","6"
"e","final","16","18-30","mandarin","male","mac","sougou","1","6"
"s","initial","17","18-30","mandarin","male","mac","sougou","1","6"
"uo","final","18","18-30","mandarin","male","mac","sougou","1","6"
"zh","initial","19","18-30","mandarin","male","mac","sougou","1","6"
"i","final","20","18-30","mandarin","male","mac","sougou","1","6"
"1","selection","21","18-30","mandarin","male","mac","sougou","1","6"
"*","productive-delete","22","18-30","mandarin","male","mac","sougou","1","6"
"zh","initial","23","18-30","mandarin","male","mac","sougou","1","6"
"i","final","24","18-30","mandarin","male","mac","sougou","1","6"
"1","selection","25","18-30","mandarin","male","mac","sougou","1","6"
"j","initial","26","18-30","mandarin","male","mac","sougou","1","6"
"un","final","27","18-30","mandarin","male","mac","sougou","1","6"
"y","initial","28","18-30","mandarin","male","mac","sougou","1","6"
"an","final","29","18-30","mandarin","male","mac","sougou","1","6"
"b","initial","30","18-30","mandarin","male","mac","sougou","1","6"
"u","final","31","18-30","mandarin","male","mac","sougou","1","6"
"d","initial","32","18-30","mandarin","male","mac","sougou","1","6"
"e","final","33","18-30","mandarin","male","mac","sougou","1","6"
"y","initial","34","18-30","mandarin","male","mac","sougou","1","6"
"i","final","35","18-30","mandarin","male","mac","sougou","1","6"
"1","selection","36","18-30","mandarin","male","mac","sougou","1","6"
"g","initial","37","18-30","mandarin","male","mac","sougou","1","6"
"ui","final","38","18-30","mandarin","male","mac","sougou","1","6"
"w","initial","39","18-30","mandarin","male","mac","sougou","1","6"
"o","final","40","18-30","mandarin","male","mac","sougou","1","6"
"n","initial","41","18-30","mandarin","male","mac","sougou","1","6"
"an","final","42","18-30","mandarin","male","mac","sougou","1","6"
"sh","initial","43","18-30","mandarin","male","mac","sougou","1","6"
"an","final","44","18-30","mandarin","male","mac","sougou","1","6"
"ch","initial","45","18-30","mandarin","male","mac","sougou","1","6"
"ui","final","46","18-30","mandarin","male","mac","sougou","1","6"
"1","selection","47","18-30","mandarin","male","mac","sougou","1","6"
"d","initial","48","18-30","mandarin","male","mac","sougou","1","6"
"an","final","49","18-30","mandarin","male","mac","sougou","1","6"
"q","initial","50","18-30","mandarin","male","mac","sougou","1","6"
"u","final","51","18-30","mandarin","male","mac","sougou","1","6"
"m","initial","52","18-30","mandarin","male","mac","sougou","1","6"
"o","final","53","18-30","mandarin","male","mac","sougou","1","6"
"f","initial","54","18-30","mandarin","male","mac","sougou","1","6"
"u","final","55","18-30","mandarin","male","mac","sougou","1","6"
"w","initial","56","18-30","mandarin","male","mac","sougou","1","6"
"en","final","57","18-30","mandarin","male","mac","sougou","1","6"
"1","selection","58","18-30","mandarin","male","mac","sougou","1","6"
"b","initial","59","18-30","mandarin","male","mac","sougou","1","6"
"ai","final","60","18-30","mandarin","male","mac","sougou","1","6"
"y","initial","61","18-30","mandarin","male","mac","sougou","1","6"
"un","final","62","18-30","mandarin","male","mac","sougou","1","6"
"w","initial","63","18-30","mandarin","male","mac","sougou","1","6"
"u","final","64","18-30","mandarin","male","mac","sougou","1","6"
"j","initial","65","18-30","mandarin","male","mac","sougou","1","6"
"in","final","66","18-30","mandarin","male","mac","sougou","1","6"
"sh","initial","67","18-30","mandarin","male","mac","sougou","1","6"
"i","final","68","18-30","mandarin","male","mac","sougou","1","6"
"1","selection","69","18-30","mandarin","male","mac","sougou","1","6"
,"6"
