"token","type","uniq","age_group","dialect","gender","operating_system","input_method","trial","session"
"x","initial","0","18-30","mandarin","female","mac","apple","2","2"
"ia","final","1","18-30","mandarin","female","mac","apple","2","2"
"m","initial","2","18-30","mandarin","female","mac","apple","2","2"
"a","final","3","18-30","mandarin","female","mac","apple","2","2"
"_","selection","4","18-30","mandarin","female","mac","apple","2","2"
"y","initial","5","18-30","mandarin","female","mac","apple","2","2"
"in","final","6","18-30","mandarin","female","mac","apple","2","2"
"j","initial","7","18-30","mandarin","female","mac","apple","2","2"
"un","final","8","18-30","mandarin","female","mac","apple","2","2"
"j","initial","9","18-30","mandarin","female","mac","apple","2","2"
"iu","final","10","18-30","mandarin","female","mac","apple","2","2"
"_","selection","11","18-30","mandarin","female","mac","apple","2","2"
"w","initial","12","18-30","mandarin","female","mac","apple","2","2"
"en","final","13","18-30","mandarin","female","mac","apple","2","2"
"_","selection","14","18-30","mandarin","female","mac","apple","2","2"
"j","initial","15","18-30","mandarin","female","mac","apple","2","2"
"un","final","16","18-30","mandarin","female","mac","apple","2","2"
"_","selection","17","18-30","mandarin","female","mac","apple","2","2"
"h","initial","18","18-30","mandarin","female","mac","apple","2","2"
"e","final","19","18-30","mandarin","female","mac","apple","2","2"
"s","initial","20","18-30","mandarin","female","mac","apple","2","2"
"uo","final","21","18-30","mandarin","female","mac","apple","2","2"
"zh","initial","22","18-30","mandarin","female","mac","apple","2","2"
"i","final","23","18-30","mandarin","female","mac","apple","2","2"
"2","selection","24","18-30","mandarin","female","mac","apple","2","2"
"j","initial","25","18-30","mandarin","female","mac","apple","2","2"
"un","final","26","18-30","mandarin","female","mac","apple","2","2"
"y","initial","27","18-30","mandarin","female","mac","apple","2","2"
"an","final","28","18-30","mandarin","female","mac","apple","2","2"
"b","initial","29","18-30","mandarin","female","mac","apple","2","2"
"u","final","30","18-30","mandarin","female","mac","apple","2","2"
"d","initial","31","18-30","mandarin","female","mac","apple","2","2"
"e","final","32","18-30","mandarin","female","mac","apple","2","2"
"y","initial","33","18-30","mandarin","female","mac","apple","2","2"
"i","final","34","18-30","mandarin","female","mac","apple","2","2"
"_","selection","35","18-30","mandarin","female","mac","apple","2","2"
"g","initial","36","18-30","mandarin","female","mac","apple","2","2"
"ui","final","37","18-30","mandarin","female","mac","apple","2","2"
"w","initial","38","18-30","mandarin","female","mac","apple","2","2"
"o","final","39","18-30","mandarin","female","mac","apple","2","2"
"n","initial","40","18-30","mandarin","female","mac","apple","2","2"
"an","final","41","18-30","mandarin","female","mac","apple","2","2"
"sh","initial","42","18-30","mandarin","female","mac","apple","2","2"
"an","final","43","18-30","mandarin","female","mac","apple","2","2"
"ch","initial","44","18-30","mandarin","female","mac","apple","2","2"
"ui","final","45","18-30","mandarin","female","mac","apple","2","2"
"_","selection","46","18-30","mandarin","female","mac","apple","2","2"
"d","initial","47","18-30","mandarin","female","mac","apple","2","2"
"an","final","48","18-30","mandarin","female","mac","apple","2","2"
"q","initial","49","18-30","mandarin","female","mac","apple","2","2"
"u","final","50","18-30","mandarin","female","mac","apple","2","2"
"m","initial","51","18-30","mandarin","female","mac","apple","2","2"
"o","final","52","18-30","mandarin","female","mac","apple","2","2"
"f","initial","53","18-30","mandarin","female","mac","apple","2","2"
"u","final","54","18-30","mandarin","female","mac","apple","2","2"
"w","initial","55","18-30","mandarin","female","mac","apple","2","2"
"en","final","56","18-30","mandarin","female","mac","apple","2","2"
"_","selection","57","18-30","mandarin","female","mac","apple","2","2"
"b","initial","58","18-30","mandarin","female","mac","apple","2","2"
"ai","final","59","18-30","mandarin","female","mac","apple","2","2"
"y","initial","60","18-30","mandarin","female","mac","apple","2","2"
"un","final","61","18-30","mandarin","female","mac","apple","2","2"
"w","initial","62","18-30","mandarin","female","mac","apple","2","2"
"u","final","63","18-30","mandarin","female","mac","apple","2","2"
"j","initial","64","18-30","mandarin","female","mac","apple","2","2"
"in","final","65","18-30","mandarin","female","mac","apple","2","2"
"sh","initial","66","18-30","mandarin","female","mac","apple","2","2"
"i","final","67","18-30","mandarin","female","mac","apple","2","2"
"_","selection","68","1830","mandarin","female","mac","apple","2","2"
,"2"
