"token","type","uniq","age_group","dialect","gender","operating_system","input_method","trial","session"
"x","initial","0","18-30","mandarin","male","mac","sogou","2","6"
"ia","final","1","18-30","mandarin","male","mac","sogou","2","6"
"m","initial","2","18-30","mandarin","male","mac","sogou","2","6"
"a","final","3","18-30","mandarin","male","mac","sogou","2","6"
"1","selection","4","18-30","mandarin","male","mac","sogou","2","6"
"y","initial","5","18-30","mandarin","male","mac","sogou","2","6"
"in","final","6","18-30","mandarin","male","mac","sogou","2","6"
"j","initial","7","18-30","mandarin","male","mac","sogou","2","6"
"un","final","8","18-30","mandarin","male","mac","sogou","2","6"
"j","initial","9","18-30","mandarin","male","mac","sogou","2","6"
"iu","final","10","18-30","mandarin","male","mac","sogou","2","6"
"1","selection","11","18-30","mandarin","male","mac","sogou","2","6"
"w","initial","12","18-30","mandarin","male","mac","sogou","2","6"
"en","final","13","18-30","mandarin","male","mac","sogou","2","6"
"j","initial","14","18-30","mandarin","male","mac","sogou","2","6"
"un","final","15","18-30","mandarin","male","mac","sogou","2","6"
"h","initial","16","18-30","mandarin","male","mac","sogou","2","6"
"e","final","17","18-30","mandarin","male","mac","sogou","2","6"
"s","initial","18","18-30","mandarin","male","mac","sogou","2","6"
"uo","final","19","18-30","mandarin","male","mac","sogou","2","6"
"zh","initial","20","18-30","mandarin","male","mac","sogou","2","6"
"i","final","21","18-30","mandarin","male","mac","sogou","2","6"
"1","selection","22","18-30","mandarin","male","mac","sogou","2","6"
"*","productive-delete","23","18-30","mandarin","male","mac","sogou","2","6"
"zh","initial","24","18-30","mandarin","male","mac","sogou","2","6"
"i","final","25","18-30","mandarin","male","mac","sogou","2","6"
"1","selection","26","18-30","mandarin","male","mac","sogou","2","6"
"j","initial","27","18-30","mandarin","male","mac","sogou","2","6"
"un","final","28","18-30","mandarin","male","mac","sogou","2","6"
"y","initial","29","18-30","mandarin","male","mac","sogou","2","6"
"an","final","30","18-30","mandarin","male","mac","sogou","2","6"
"b","initial","31","18-30","mandarin","male","mac","sogou","2","6"
"u","final","32","18-30","mandarin","male","mac","sogou","2","6"
"d","initial","33","18-30","mandarin","male","mac","sogou","2","6"
"e","final","34","18-30","mandarin","male","mac","sogou","2","6"
"y","initial","35","18-30","mandarin","male","mac","sogou","2","6"
"i","final","36","18-30","mandarin","male","mac","sogou","2","6"
"1","selection","37","18-30","mandarin","male","mac","sogou","2","6"
"g","initial","38","18-30","mandarin","male","mac","sogou","2","6"
"ui","final","39","18-30","mandarin","male","mac","sogou","2","6"
"w","initial","40","18-30","mandarin","male","mac","sogou","2","6"
"o","final","41","18-30","mandarin","male","mac","sogou","2","6"
"n","initial","42","18-30","mandarin","male","mac","sogou","2","6"
"an","final","43","18-30","mandarin","male","mac","sogou","2","6"
"sh","initial","44","18-30","mandarin","male","mac","sogou","2","6"
"an","final","45","18-30","mandarin","male","mac","sogou","2","6"
"ch","initial","46","18-30","mandarin","male","mac","sogou","2","6"
"ui","final","47","18-30","mandarin","male","mac","sogou","2","6"
"1","selection","48","18-30","mandarin","male","mac","sogou","2","6"
"d","initial","49","18-30","mandarin","male","mac","sogou","2","6"
"an","final","50","18-30","mandarin","male","mac","sogou","2","6"
"q","initial","51","18-30","mandarin","male","mac","sogou","2","6"
"u","final","52","18-30","mandarin","male","mac","sogou","2","6"
"m","initial","53","18-30","mandarin","male","mac","sogou","2","6"
"o","final","54","18-30","mandarin","male","mac","sogou","2","6"
"f","initial","55","18-30","mandarin","male","mac","sogou","2","6"
"u","final","56","18-30","mandarin","male","mac","sogou","2","6"
"w","initial","57","18-30","mandarin","male","mac","sogou","2","6"
"en","final","58","18-30","mandarin","male","mac","sogou","2","6"
"1","selection","59","18-30","mandarin","male","mac","sogou","2","6"
"b","initial","60","18-30","mandarin","male","mac","sogou","2","6"
"ai","final","61","18-30","mandarin","male","mac","sogou","2","6"
"y","initial","62","18-30","mandarin","male","mac","sogou","2","6"
"un","final","63","18-30","mandarin","male","mac","sogou","2","6"
"w","initial","64","18-30","mandarin","male","mac","sogou","2","6"
"u","final","65","18-30","mandarin","male","mac","sogou","2","6"
"j","initial","66","18-30","mandarin","male","mac","sogou","2","6"
"in","final","67","18-30","mandarin","male","mac","sogou","2","6"
"sh","initial","68","18-30","mandarin","male","mac","sogou","2","6"
"i","final","69","18-30","mandarin","male","mac","sogou","2","6"
"1","selection","70","18-30","mandarin","male","mac","sogou","2","6"
,"6"
