"trial_name","trial_id","session","trial","trial_text","keylog","editor","operating_system","age_group","dialect","gender","character_type","trial_date","uniq","token","token_type","chinese_id","segment","text_seg_id"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","0","d","initial","21","5","TangPoem_5"
"tang_session2_trial1",1,2,1,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","0","d","initial","21","5","TangPoem_5"
"tang_session2_trial2",1,2,2,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","0","d","initial","21","5","TangPoem_5"
"tang_session5_trial1",1,5,1,"TangPoem","danqumofuwen2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","0","d","initial","21","5","TangPoem_5"
"tang_session6_trial1",1,6,1,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","0","d","initial","21","5","TangPoem_5"
"tang_session6_trial2",1,6,2,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","0","d","initial","21","5","TangPoem_5"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","1","an","final","21","5","TangPoem_5"
"tang_session2_trial1",1,2,1,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","1","an","final","21","5","TangPoem_5"
"tang_session2_trial2",1,2,2,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","1","an","final","21","5","TangPoem_5"
"tang_session5_trial1",1,5,1,"TangPoem","danqumofuwen2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","1","an","final","21","5","TangPoem_5"
"tang_session6_trial1",1,6,1,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","1","an","final","21","5","TangPoem_5"
"tang_session6_trial2",1,6,2,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","1","an","final","21","5","TangPoem_5"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","2","q","initial","22","5","TangPoem_5"
"tang_session2_trial1",1,2,1,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","2","q","initial","22","5","TangPoem_5"
"tang_session2_trial2",1,2,2,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","2","q","initial","22","5","TangPoem_5"
"tang_session5_trial1",1,5,1,"TangPoem","danqumofuwen2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","2","q","initial","22","5","TangPoem_5"
"tang_session6_trial1",1,6,1,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","2","q","initial","22","5","TangPoem_5"
"tang_session6_trial2",1,6,2,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","2","q","initial","22","5","TangPoem_5"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","3","u","final","22","5","TangPoem_5"
"tang_session2_trial1",1,2,1,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","3","u","final","22","5","TangPoem_5"
"tang_session2_trial2",1,2,2,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","3","u","final","22","5","TangPoem_5"
"tang_session5_trial1",1,5,1,"TangPoem","danqumofuwen2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","3","u","final","22","5","TangPoem_5"
"tang_session6_trial1",1,6,1,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","3","u","final","22","5","TangPoem_5"
"tang_session6_trial2",1,6,2,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","3","u","final","22","5","TangPoem_5"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","4","1","selection","22","5","TangPoem_5"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","5","m","initial","23","5","TangPoem_5"
"tang_session2_trial1",1,2,1,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","5","m","initial","23","5","TangPoem_5"
"tang_session2_trial2",1,2,2,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","5","m","initial","23","5","TangPoem_5"
"tang_session5_trial1",1,5,1,"TangPoem","danqumofuwen2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","5","m","initial","23","5","TangPoem_5"
"tang_session6_trial1",1,6,1,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","5","m","initial","23","5","TangPoem_5"
"tang_session6_trial2",1,6,2,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","5","m","initial","23","5","TangPoem_5"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","6","o","final","23","5","TangPoem_5"
"tang_session2_trial1",1,2,1,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","6","o","final","23","5","TangPoem_5"
"tang_session2_trial2",1,2,2,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","6","o","final","23","5","TangPoem_5"
"tang_session5_trial1",1,5,1,"TangPoem","danqumofuwen2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","6","o","final","23","5","TangPoem_5"
"tang_session6_trial1",1,6,1,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","6","o","final","23","5","TangPoem_5"
"tang_session6_trial2",1,6,2,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","6","o","final","23","5","TangPoem_5"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","7","1","selection","23","5","TangPoem_5"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","8","f","initial","24","5","TangPoem_5"
"tang_session2_trial1",1,2,1,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","8","f","initial","24","5","TangPoem_5"
"tang_session2_trial2",1,2,2,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","8","f","initial","24","5","TangPoem_5"
"tang_session5_trial1",1,5,1,"TangPoem","danqumofuwen2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","8","f","initial","24","5","TangPoem_5"
"tang_session6_trial1",1,6,1,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","8","f","initial","24","5","TangPoem_5"
"tang_session6_trial2",1,6,2,"TangPoem","danqumofuwen1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","8","f","initial","24","5","TangPoem_5"
"tang_session1_trial2",1,1,2,"TangPoem","danqu1mo1fuxi1*wen1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","9","u","final","24","5","TangPoem_5"
"tang_session2_trial1",1,2,1,"TangPoem","danqumofuwen_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","9","u","final","24","5","TangPoem_5"
