"trial_name","trial_id","session","trial","trial_text","keylog","editor","operating_system","age_group","dialect","gender","character_type","trial_date","uniq","token","token_type","chinese_id","segment","text_seg_id"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","0","b","initial","26","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","0","b","initial","26","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","0","b","initial","26","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","0","b","initial","26","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","0","b","initial","26","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","0","b","initial","26","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","1","ai","final","26","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","1","ai","final","26","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","1","ai","final","26","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","1","ai","final","26","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","1","ai","final","26","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","1","ai","final","26","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","2","y","initial","27","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","2","y","initial","27","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","2","y","initial","27","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","2","y","initial","27","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","2","y","initial","27","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","2","y","initial","27","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","3","un","final","27","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","3","un","final","27","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","3","un","final","27","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","3","un","final","27","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","3","un","final","27","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","3","un","final","27","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","4","1","selection","27","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","5","w","initial","28","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","5","w","initial","28","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","5","w","initial","28","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","5","w","initial","28","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","5","w","initial","28","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","5","w","initial","28","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","6","u","final","28","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","6","u","final","28","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","6","u","final","28","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","6","u","final","28","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","6","u","final","28","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","6","u","final","28","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","7","j","initial","29","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","7","j","initial","29","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","7","j","initial","29","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","7","j","initial","29","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","7","j","initial","29","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","7","j","initial","29","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","8","in","final","29","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","8","in","final","29","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","8","in","final","29","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","8","in","final","29","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","8","in","final","29","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","8","in","final","29","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","9","sh","initial","30","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","9","sh","initial","30","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","9","sh","initial","30","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","9","sh","initial","30","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","9","sh","initial","30","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","9","sh","initial","30","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","10","i","final","30","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","10","i","final","30","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","10","i","final","30","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","10","i","final","30","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","10","i","final","30","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","10","i","final","30","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","11","1","selection","30","6","TangPoem_6"
"tang_session2_trial1",1,2,1,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","11","1","selection","30","6","TangPoem_6"
"tang_session2_trial2",1,2,2,"TangPoem","baiyunwujinshi_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","11","1","selection","30","6","TangPoem_6"
"tang_session5_trial1",1,5,1,"TangPoem","baiyunwujinshi2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","11","1","selection","30","6","TangPoem_6"
"tang_session6_trial1",1,6,1,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","11","1","selection","30","6","TangPoem_6"
"tang_session6_trial2",1,6,2,"TangPoem","baiyunwujinshi1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","11","1","selection","30","6","TangPoem_6"
"tang_session1_trial2",1,1,2,"TangPoem","baiyun1wujinshi33","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","12","1","selection","30","6","TangPoem_6"
