chinese,id,pinyin
下,1,xia
馬,2,ma
飲,3,yin
君,4,jun
酒,5,jiu
問,6,wen
君,7,jun
何,8,he
所,9,suo
之,10,zhi
君,11,jun
言,12,yan
不,13,bu
得,14,de
意,15,yi
歸,16,gui
臥,17,wo
南,18,nan
山,19,shan
陲,20,chui
但,21,dan
去,22,qu
莫,23,mo
復,24,fu
問,25,wen
白,26,bai
雲,27,yun
無,28,wu
盡,29,jin
時,30,shi
