,Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,Keylog_CLEAN,editor,OS,age_group,DIALECT,GENDER,CharacterType,TrialDate,token,uniq,Segment,text_seg
20,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,un,4,6,TangPoem_6
21,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,un,4,6,TangPoem_6
22,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,un,4,6,TangPoem_6
23,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,un,4,6,TangPoem_6
24,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,un,4,6,TangPoem_6
25,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,1,5,6,TangPoem_6
26,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,6,TangPoem_6
27,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,6,TangPoem_6
28,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,6,TangPoem_6
29,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,6,TangPoem_6
30,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,6,TangPoem_6
31,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,w,6,6,TangPoem_6
32,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,w,6,6,TangPoem_6
33,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,w,6,6,TangPoem_6
34,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,w,6,6,TangPoem_6
35,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,w,6,6,TangPoem_6
36,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,w,6,6,TangPoem_6
37,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,u,7,6,TangPoem_6
38,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,u,7,6,TangPoem_6
39,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,u,7,6,TangPoem_6
40,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,u,7,6,TangPoem_6
41,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,u,7,6,TangPoem_6
42,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,u,7,6,TangPoem_6
43,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,j,8,6,TangPoem_6
44,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,j,8,6,TangPoem_6
45,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,j,8,6,TangPoem_6
46,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,j,8,6,TangPoem_6
47,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,j,8,6,TangPoem_6
48,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,j,8,6,TangPoem_6
49,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,in,9,6,TangPoem_6
50,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,in,9,6,TangPoem_6
51,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,in,9,6,TangPoem_6
52,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,in,9,6,TangPoem_6
53,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,in,9,6,TangPoem_6
54,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,in,9,6,TangPoem_6
55,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,sh,10,6,TangPoem_6
56,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,sh,10,6,TangPoem_6
57,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,sh,10,6,TangPoem_6
58,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,sh,10,6,TangPoem_6
59,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,sh,10,6,TangPoem_6
60,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,sh,10,6,TangPoem_6
61,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,i,11,6,TangPoem_6
62,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,i,11,6,TangPoem_6
63,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,i,11,6,TangPoem_6
64,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,i,11,6,TangPoem_6
65,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,i,11,6,TangPoem_6
66,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,i,11,6,TangPoem_6
67,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,1,12,6,TangPoem_6
68,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,1,12,6,TangPoem_6
69,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,1,12,6,TangPoem_6
70,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,1,12,6,TangPoem_6
71,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,1,12,6,TangPoem_6
72,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,1,12,6,TangPoem_6
73,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,1,12,6,TangPoem_6
74,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,6,TangPoem_6
75,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,6,TangPoem_6
76,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,6,TangPoem_6
77,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,6,TangPoem_6
78,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,6,TangPoem_6
