,Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,Keylog_CLEAN,editor,OS,age_group,DIALECT,GENDER,CharacterType,TrialDate,token,uniq,Segment,text_seg
1,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,b,1,6,TangPoem_6
2,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,b,1,6,TangPoem_6
3,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,b,1,6,TangPoem_6
4,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,b,1,6,TangPoem_6
5,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,b,1,6,TangPoem_6
6,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,b,1,6,TangPoem_6
7,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,ai,2,6,TangPoem_6
8,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,ai,2,6,TangPoem_6
9,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,ai,2,6,TangPoem_6
10,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,ai,2,6,TangPoem_6
11,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,ai,2,6,TangPoem_6
12,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,ai,2,6,TangPoem_6
13,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,y,3,6,TangPoem_6
14,tang_session2_trial1,1,2,1,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,y,3,6,TangPoem_6
15,tang_session2_trial2,1,2,2,TangPoem,baiyunwujinshi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,y,3,6,TangPoem_6
16,tang_session5_trial1,1,5,1,TangPoem,baiyunwujinshi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,y,3,6,TangPoem_6
17,tang_session6_trial1,1,6,1,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,y,3,6,TangPoem_6
18,tang_session6_trial2,1,6,2,TangPoem,baiyunwujinshi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,y,3,6,TangPoem_6
19,tang_session1_trial2,1,1,2,TangPoem,baiyun1wujinshi33,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,un,4,6,TangPoem_6
