,Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,Keylog_CLEAN,editor,operating_system,age_group,DIALECT,GENDER,CharacterType,TrialDate,token,uniq,Segment,text_seg
38,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,y,7,1,TangPoem_1
39,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,y,7,1,TangPoem_1
40,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,y,7,1,TangPoem_1
41,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,y,7,1,TangPoem_1
42,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,y,7,1,TangPoem_1
43,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,in,8,1,TangPoem_1
44,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,in,8,1,TangPoem_1
45,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,in,8,1,TangPoem_1
46,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,in,8,1,TangPoem_1
47,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,in,8,1,TangPoem_1
48,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,in,8,1,TangPoem_1
49,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,l,9,1,TangPoem_1
50,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
51,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
52,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,1,TangPoem_1
53,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
54,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
55,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,iao,10,1,TangPoem_1
56,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
57,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
58,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,1,TangPoem_1
59,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
60,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
61,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,1,11,1,TangPoem_1
62,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
63,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
64,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,1,TangPoem_1
65,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
66,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
