"","Trial_Name","Trial_ID","Trial_SESSION","Trial_Trial","Trial_Text","Keylog_CLEAN","IME","OS","AGE","DIALECT","GENDER","CharacterType","TrialDate","sequence","token","uniq","Segment","text_seg"
"57","madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.9","1",1,"2","Madman_2"
"58","madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.9","",2,"2","Madman_2"
"59","DNA_Type(PLEASEDOUBLECHECK!)","",,,"","","","",,"","","","","X.9","S",2,"2","_2"
"60","CodeOfCorrespondingChinese-SeeOtherSheet","",,,"","","","",,"","","","","X.9","",2,"2","_2"
"61","madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","X.10","y",1,"2","Madman_2"
"62","madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","X.10","y",1,"2","Madman_2"
"63","madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.10","y",1,"2","Madman_2"
"64","madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.10","y",1,"2","Madman_2"
"65","DNA_Type(PLEASEDOUBLECHECK!)","",,,"","","","",,"","","","","X.10","I",5,"2","_2"
"66","CodeOfCorrespondingChinese-SeeOtherSheet","",,,"","","","",,"","","","","X.10","12",1,"2","_2"
"67","madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","X.11","an",2,"2","Madman_2"
"68","madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","X.11","an",2,"2","Madman_2"
"69","madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.11","an",2,"2","Madman_2"
"70","madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.11","an",2,"2","Madman_2"
"71","DNA_Type(PLEASEDOUBLECHECK!)","",,,"","","","",,"","","","","X.11","F",5,"2","_2"
"72","CodeOfCorrespondingChinese-SeeOtherSheet","",,,"","","","",,"","","","","X.11","12",2,"2","_2"
"73","madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","X.12","j",1,"2","Madman_2"
"74","madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","X.12","j",1,"2","Madman_2"
"75","madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.12","j",1,"2","Madman_2"
"76","madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.12","j",1,"2","Madman_2"
"77","DNA_Type(PLEASEDOUBLECHECK!)","",,,"","","","",,"","","","","X.12","I",6,"2","_2"
"78","CodeOfCorrespondingChinese-SeeOtherSheet","",,,"","","","",,"","","","","X.12","13",1,"2","_2"
"79","madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","X.13","iu",1,"2","Madman_2"
"80","madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","X.13","iu",1,"2","Madman_2"
"81","madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.13","iu",1,"2","Madman_2"
"82","madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.13","iu",1,"2","Madman_2"
"83","DNA_Type(PLEASEDOUBLECHECK!)","",,,"","","","",,"","","","","X.13","F",6,"2","_2"
"84","CodeOfCorrespondingChinese-SeeOtherSheet","",,,"","","","",,"","","","","X.13","13",2,"2","_2"
"85","madman_session2_trial2","2",2,2,"Madman","wanshang_zongshishuibuzhao_fanshi2xudeyanjiu2caihuimingbai_tamen_yeyou_geizhixian_dajia_guode2","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","X.14","2",2,"2","Madman_2"
"86","madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","X.14","2",1,"2","Madman_2"
"87","madman_session6_trial1","2",6,1,"Madman","wanshang1zongshi1shuibuzhao1.fanshixudei1yanjiu1,caihuimingbai1.tamen1,yeyougei1zhixian5dajia1guode1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.14","1",2,"2","Madman_2"
"88","madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","X.14","1",1,"2","Madman_2"
"89","DNA_Type(PLEASEDOUBLECHECK!)","",,,"","","","",,"","","","","X.14","S",3,"2","_2"
"90","CodeOfCorrespondingChinese-SeeOtherSheet","",,,"","","","",,"","","","","X.14","",3,"2","_2"
