,Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,Keylog_CLEAN,editor,OS,age_group,DIALECT,GENDER,CharacterType,TrialDate,token,uniq,Segment,text_seg
1,tang_session1_trial2,1,1,2,TangPoem,danqu1mo1fuxi1*wen1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,d,1,5,TangPoem_5
2,tang_session2_trial1,1,2,1,TangPoem,danqumofuwen_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,d,1,5,TangPoem_5
3,tang_session2_trial2,1,2,2,TangPoem,danqumofuwen_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,d,1,5,TangPoem_5
4,tang_session5_trial1,1,5,1,TangPoem,danqumofuwen2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,d,1,5,TangPoem_5
5,tang_session6_trial1,1,6,1,TangPoem,danqumofuwen1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,d,1,5,TangPoem_5
6,tang_session6_trial2,1,6,2,TangPoem,danqumofuwen1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,d,1,5,TangPoem_5
7,tang_session1_trial2,1,1,2,TangPoem,danqu1mo1fuxi1*wen1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,an,2,5,TangPoem_5
8,tang_session2_trial1,1,2,1,TangPoem,danqumofuwen_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,an,2,5,TangPoem_5
9,tang_session2_trial2,1,2,2,TangPoem,danqumofuwen_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,an,2,5,TangPoem_5
10,tang_session5_trial1,1,5,1,TangPoem,danqumofuwen2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,an,2,5,TangPoem_5
11,tang_session6_trial1,1,6,1,TangPoem,danqumofuwen1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,an,2,5,TangPoem_5
12,tang_session6_trial2,1,6,2,TangPoem,danqumofuwen1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,an,2,5,TangPoem_5
13,tang_session1_trial2,1,1,2,TangPoem,danqu1mo1fuxi1*wen1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,q,3,5,TangPoem_5
14,tang_session2_trial1,1,2,1,TangPoem,danqumofuwen_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,q,3,5,TangPoem_5
15,tang_session2_trial2,1,2,2,TangPoem,danqumofuwen_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,q,3,5,TangPoem_5
16,tang_session5_trial1,1,5,1,TangPoem,danqumofuwen2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,q,3,5,TangPoem_5
17,tang_session6_trial1,1,6,1,TangPoem,danqumofuwen1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,q,3,5,TangPoem_5
18,tang_session6_trial2,1,6,2,TangPoem,danqumofuwen1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,q,3,5,TangPoem_5
19,tang_session1_trial2,1,1,2,TangPoem,danqu1mo1fuxi1*wen1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,u,4,5,TangPoem_5
20,tang_session2_trial1,1,2,1,TangPoem,danqumofuwen_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,u,4,5,TangPoem_5
