,Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,Keylog_CLEAN,editor,OS,age_group,DIALECT,GENDER,CharacterType,TrialDate,token,uniq,Segment,text_seg
1,tang_session1_trial2,1,1,2,TangPoem,junzi1*yan4budeyi1*yi1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,j,1,3,TangPoem_3
2,tang_session2_trial1,1,2,1,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,j,1,3,TangPoem_3
3,tang_session2_trial2,1,2,2,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,j,1,3,TangPoem_3
4,tang_session5_trial1,1,5,1,TangPoem,junyanbudeyi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,j,1,3,TangPoem_3
5,tang_session6_trial1,1,6,1,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,j,1,3,TangPoem_3
6,tang_session6_trial2,1,6,2,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,j,1,3,TangPoem_3
7,tang_session1_trial2,1,1,2,TangPoem,junzi1*yan4budeyi1*yi1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,un,2,3,TangPoem_3
8,tang_session2_trial1,1,2,1,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,un,2,3,TangPoem_3
9,tang_session2_trial2,1,2,2,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,un,2,3,TangPoem_3
10,tang_session5_trial1,1,5,1,TangPoem,junyanbudeyi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,un,2,3,TangPoem_3
11,tang_session6_trial1,1,6,1,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,un,2,3,TangPoem_3
12,tang_session6_trial2,1,6,2,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,un,2,3,TangPoem_3
13,tang_session1_trial2,1,1,2,TangPoem,junzi1*yan4budeyi1*yi1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,z,3,3,TangPoem_3
14,tang_session2_trial1,1,2,1,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,3,TangPoem_3
15,tang_session2_trial2,1,2,2,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,3,TangPoem_3
16,tang_session5_trial1,1,5,1,TangPoem,junyanbudeyi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,3,TangPoem_3
17,tang_session6_trial1,1,6,1,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,3,TangPoem_3
18,tang_session6_trial2,1,6,2,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,3,TangPoem_3
19,tang_session1_trial2,1,1,2,TangPoem,junzi1*yan4budeyi1*yi1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,i,4,3,TangPoem_3
20,tang_session2_trial1,1,2,1,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,3,TangPoem_3
21,tang_session2_trial2,1,2,2,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,3,TangPoem_3
22,tang_session5_trial1,1,5,1,TangPoem,junyanbudeyi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,3,TangPoem_3
23,tang_session6_trial1,1,6,1,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,3,TangPoem_3
24,tang_session6_trial2,1,6,2,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,3,TangPoem_3
25,tang_session1_trial2,1,1,2,TangPoem,junzi1*yan4budeyi1*yi1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,1,5,3,TangPoem_3
26,tang_session2_trial1,1,2,1,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,3,TangPoem_3
27,tang_session2_trial2,1,2,2,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,3,TangPoem_3
28,tang_session5_trial1,1,5,1,TangPoem,junyanbudeyi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,3,TangPoem_3
29,tang_session6_trial1,1,6,1,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,3,TangPoem_3
30,tang_session6_trial2,1,6,2,TangPoem,junyanbudeyi1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,3,TangPoem_3
31,tang_session1_trial2,1,1,2,TangPoem,junzi1*yan4budeyi1*yi1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,*,6,3,TangPoem_3
32,tang_session2_trial1,1,2,1,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,3,TangPoem_3
33,tang_session2_trial2,1,2,2,TangPoem,junyanbudeyi_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,3,TangPoem_3
34,tang_session5_trial1,1,5,1,TangPoem,junyanbudeyi2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,3,TangPoem_3
