"trial_name","trial_id","session","trial","trial_text","keylog","editor","operating_system","age_group","dialect","gender","character_type","trial_date","uniq","token","token_type","chinese_id","segment","text_seg_id"
"madman_session6_trial2","2",6,2,"Madman","wanshangzongshi1shuibuzhao1.fanshixudeiyanjiu1,caihuimingbai1.tamen1,yeyoug1zhixiandajiaguo321de1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","12","1","selection","28","5","Madman_5"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","13","1","selection","28","5","Madman_5"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","14","1","selection","28","5","Madman_5"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","15","*","delete","28","5","Madman_5"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","16","j","initial","27","5","Madman_5"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","17","ia","final","27","5","Madman_5"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","18","s","initial","27","5","Madman_5"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","19","uo","final","27","5","Madman_5"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","20","1","selection","27","5","Madman_5"
"madman_session5_trial1","2",5,1,"Madman","wanshang_zongshi_shuibuzhaojiao_.fanshi_xudeyanjiu2,caihuimingbai_.tamen_yeyougeizhixian2dajiaguode___**jiasuo_*","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","21","*","delete","27","5","Madman_5"
